,id_instal,codi_carrer,tipus_via,nom_carrer,num_carrer,codi_barri,nom_barri,codi_districte,nom_districte,latitud,longitud,etrs89_x,etrs89_y,data_instalacio,data_desinstalacio,font,geometry,index_right,tram,descripció,coordenades
706,9007,285807,C,Rocafort,47,10,Sant Antoni,2,L'Eixample,41.377418,2.155691,429398.561,4580999.344,05/03/2024,,TRÀNSIT,POINT (2.155691 41.377418),303,304,Rocafort (Gran Via a Av. Paral·lel),"2.15865,41.37526,2.15863,41.37527,2.15864,41.37527,2.15865,41.37527,2.15862,41.37528,2.15863,41.37528,2.1586,41.37529,2.15861,41.37529,2.15862,41.37529,2.15858,41.3753,2.15859,41.3753,2.1586,41.3753,2.15857,41.37531,2.15858,41.37531,2.15856,41.37532,2.15857,41.37532,2.15855,41.37533,2.15856,41.37533,2.15853,41.37534,2.15854,41.37534,2.15853,41.37535,2.15754,41.37609,2.15686,41.37662,2.15661,41.37681,2.15642,41.37694,2.15592,41.37733,2.15531,41.37779,2.15481,41.37817,2.15425,41.37859"
707,9026,187207,Av,Madrid,182,18,Sants,3,Sants-Montjuïc,41.380629,2.132135,427432.406,4581375.233,07/03/2024,31/05/2024,TRÀNSIT,POINT (2.132135 41.380629),128,129,Av. Madrid (Carles III a Numància),"2.139074460880526,41.3831986539319,2.137559363521913,41.38256280226404,2.135515401716444,41.38175142494667,2.13426262487378,41.38134034711919,2.133530803579016,41.38115938474708,2.132354737176412,41.38082403366494,2.131738824177469,41.38061680399022,2.131310647838465,41.3804642989339,2.130703827329763,41.38021151828762,2.129313840060438,41.37950856529406"
708,9028,82107,C,Còdols,11,2,el Barri Gòtic,1,Ciutat Vella,41.37986,2.177841,431253.349,4581252.635,07/03/2024,,OCI,POINT (2.177841 41.37986),291,292,Passeig de Colom (Pl. Antonio López a Pl. Portal de la Pau),"2.182102513985287,41.38137656982789,2.177895016062157,41.37616695259703"
709,9046,348408,C,Tuset,30,26,Galvany,5,Sarrià-Sant Gervasi,41.396326,2.151525,429070.751,4583101.874,07/03/2024,19/04/2024,OCI,POINT (2.151525 41.396326),101,102,Travessera de Gràcia (Aribau a Via Augusta),"2.149330405746273,41.39593880954032,2.153194611211402,41.39842343750502"
710,9066,23403,C,Aribau,187,26,Galvany,5,Sarrià-Sant Gervasi,41.395072,2.15035,428971.195,4582963.618,07/03/2024,,OCI,POINT (2.15035 41.395072),62,63,Aribau (Diagonal - Via Augusta),"2.151134995432096,41.3946113271771,2.149359586593731,41.39592598208619,2.148445186694912,41.39677731911217,2.147988208756202,41.3972694343402,2.147472729618427,41.39771371946721,2.146657794178697,41.39841952969403,2.144826980328654,41.39988910629263"
711,9086,158901,Pl,Osca,10,18,Sants,3,Sants-Montjuïc,41.376153,2.138468,427957.0,4580873.0,14/03/2024,,OCI,POINT (2.138468 41.376153),133,134,Carrer de Sants (Premià a Carles III),"2.13056495482207,41.37551932892383,2.139029826571497,41.37532269074156"
712,9106,243206,C,Pamplona,84,66,el Parc i la Llacuna del Poblenou,10,Sant Martí,41.396549,2.191779,432436.075,4583094.469,19/03/2024,,OCI,POINT (2.191779 41.396549),287,288,Pallars (Meridiana a Pere IV),"2.188037538852312,41.39404445445009,2.193548972436887,41.39796007348172,2.193904169443175,41.39807405027939"
713,9146,87009,C,Comte Borrell,313,8,l'Antiga Esquerra de l'Eixample,2,L'Eixample,41.390992,2.144444,428472.945,4582515.504,18/04/2024,31/05/2024,XARXA DE TRANSPORT PÚBLIC,POINT (2.144444 41.390992),118,119,Av. Sarrià (Urgell a Diagonal),"2.148244542341879,41.38985949424406,2.139525152655226,41.39115510234785"
714,9166,348408,C,Tuset,30,26,Galvany,5,Sarrià-Sant Gervasi,41.396326,2.151525,429070.751,4583101.874,19/04/2024,,OCI,POINT (2.151525 41.396326),101,102,Travessera de Gràcia (Aribau a Via Augusta),"2.149330405746273,41.39593880954032,2.153194611211402,41.39842343750502"
715,9167,348408,C,Tuset,30,26,Galvany,5,Sarrià-Sant Gervasi,41.396326,2.151525,429070.751,4583101.874,19/04/2024,,OCI,POINT (2.151525 41.396326),101,102,Travessera de Gràcia (Aribau a Via Augusta),"2.149330405746273,41.39593880954032,2.153194611211402,41.39842343750502"
716,9186,326303,C,Sitges,5,1,el Raval,1,Ciutat Vella,41.384378,2.16967,430574.9,4581760.703,19/04/2024,,OCI,POINT (2.16967 41.384378),174,175,Pelai (Pl. Universitat a Balmes),"2.164651529417385,41.38596143246053,2.167492740544994,41.38568927796226"
717,9206,204204,C,Mata,8,11,el Poble Sec,3,Sants-Montjuïc,41.373264,2.170733,430652.0,4580526.0,29/04/2024,,PATIS D'ESCOLA,POINT (2.170733 41.373264),168,169,Paral.lel (Josep Carner a Ronda de Sant Pau),"2.167846673623,41.37490162306974,2.170046656021274,41.37489605002186,2.175249722169443,41.37454574940963,2.175481796551575,41.37443232997228,2.175589001051113,41.37413591566935"
718,9226,311703,C,Sancho de Ávila,19,66,el Parc i la Llacuna del Poblenou,10,Sant Martí,41.397502,2.188283,432144.848,4583202.939,09/05/2024,,OCI,POINT (2.188283 41.397502),281,282,Meridiana (Marina a Pl. de les Glòries),"2.187213946489344,41.39483060852749,2.187206455628712,41.39490763084235,2.187154698864358,41.39499584027632,2.187080448268726,41.39505140029849,2.186999481326355,41.39506821932805,2.18699172614236,41.4023705127798,2.187145848564305,41.40239329839835,2.187303288758047,41.4024551477229,2.187436255553801,41.40252312163847,2.187670224739027,41.40265895872451,2.187754100056758,41.40273323992566,2.187838404772227,41.40280751884722,2.187955761522424,41.40290057450023,2.188074406367913,41.40300605784181,2.188151116107173,41.40313671397053,2.188210852295849,41.40324261955627,2.188253473251454,41.40333615601983,2.188278265945112,41.4034484006782,2.188276779492091,41.40350439804029,2.188275388357404,41.40356034556694,2.188264859148319,41.40364725700035,2.188255828246772,41.40371561052043,2.18824826205374,41.40375930210993"
719,9246,290206,Pl,Rovira i Trias,9,31,la Vila de Gràcia,6,Gràcia,41.407725,2.158256,429645.76,4584361.861,15/05/2024,,OCI,POINT (2.158256 41.407725),509,466,Escorial (Pl. Joanic a Camèlies),"2.16311468947372,41.40532750037832,2.158197340478747,41.41060449753257"
720,9266,275803,C,Rauric,23,2,el Barri Gòtic,1,Ciutat Vella,41.380741,2.175683,431073.855,4581352.091,16/05/2024,19/06/2024,OCI,POINT (2.175683 41.380741),183,184,Via Laietana (Pl. Uruiqnaona a Jaume I),"2.172764148073199,41.38847907390234,2.178713576908242,41.38395432230343"
721,9286,266405,Rbla,Prim,19,70,el Besòs i el Maresme,10,Sant Martí,41.411656,2.218416,434678.029,4584751.178,31/05/2024,,OCI,POINT (2.218416 41.411656),358,359,Rambla Prim (Gran Via a Pl. Llevant),"2.208671312523127,41.41921804470648,2.219083540091873,41.41146214044532"
722,9306,217603,Plta,Montcada,6,4,"Sant Pere, Santa Caterina i la Ribera",1,Ciutat Vella,41.384407,2.18197,431603.366,4581754.13,04/06/2024,,OCI,POINT (2.18197 41.384407),201,202,Comerç (Passeig Lluís Companys a Marquès de l'Argentera),"2.181385992954379,41.38991178971306,2.181346275758846,41.38969322198503,2.181419946488563,41.38862404619364,2.182045101584673,41.38686895011053,2.182175867678566,41.38666827390093,2.182435217590493,41.38631790109311,2.182709046713609,41.38604148620381,2.18440401061698,41.38476606086355,2.184954595699347,41.38443208032796"
723,9326,112208,C,Escudellers,12,2,el Barri Gòtic,1,Ciutat Vella,41.379567,2.176338,431127.379,4581221.299,05/06/2024,,OCI,POINT (2.176338 41.379567),291,292,Passeig de Colom (Pl. Antonio López a Pl. Portal de la Pau),"2.182102513985287,41.38137656982789,2.177895016062157,41.37616695259703"
724,9327,112208,C,Escudellers,34,2,el Barri Gòtic,1,Ciutat Vella,41.380128,2.176933,431177.722,4581283.046,05/06/2024,,OCI,POINT (2.176933 41.380128),291,292,Passeig de Colom (Pl. Antonio López a Pl. Portal de la Pau),"2.182102513985287,41.38137656982789,2.177895016062157,41.37616695259703"
